Make;Model;Annual Petroleum Consumption For Fuel Type1;Annual Petroleum Consumption For Fuel Type2;Time to charge at 120V;Time to charge at 240V;City Mpg For Fuel Type1;Unrounded City Mpg For Fuel Type1 (2);City Mpg For Fuel Type2;Unrounded City Mpg For Fuel Type2;City gasoline consumption;City electricity consumption;EPA city utility factor;Co2 Fuel Type1;Co2 Fuel Type2;Co2  Tailpipe For Fuel Type2;Co2  Tailpipe For Fuel Type1;Combined Mpg For Fuel Type1;Unrounded Combined Mpg For Fuel Type1;Combined Mpg For Fuel Type2;Unrounded Combined Mpg For Fuel Type2;Combined electricity consumption;Combined gasoline consumption;EPA combined utility factor;Cylinders;Engine displacement;Drive;EPA model type index;Engine descriptor;EPA Fuel Economy Score;Annual Fuel Cost For Fuel Type1;Annual Fuel Cost For Fuel Type2;Fuel Type;Fuel Type1;GHG Score;GHG Score Alternative Fuel;Highway Mpg For Fuel Type1;Unrounded Highway Mpg For Fuel Type1;Highway Mpg For Fuel Type2;Unrounded Highway Mpg For Fuel Type2;Highway gasoline consumption;Highway electricity consumption;EPA highway utility factor;Hatchback luggage volume;Hatchback passenger volume;ID;2 door luggage volume;4 door luggage volume;MPG Data;PHEV Blended;2-door passenger volume;4-door passenger volume;Range For Fuel Type1;Range  City For Fuel Type1;Range  City For Fuel Type2;Range  Highway For Fuel Type1;Range  Highway For Fuel Type2;Transmission;Unadjusted City Mpg For Fuel Type1;Unadjusted City Mpg For Fuel Type2;Unadjusted Highway Mpg For Fuel Type1;Unadjusted Highway Mpg For Fuel Type2;Vehicle Size Class;Year;You Save/Spend;Guzzler;Transmission descriptor;T Charger;S Charger;ATV Type;Fuel Type2;Epa Range For Fuel Type2;Electric motor;MFR Code;c240Dscr;charge240b;C240B Dscr;Created On;Modified On;Start-Stop;PHEV City;PHEV Highway;PHEV Combined;baseModel
Toyota;Corolla Sport;11.018888888888888;0.0;0.0;0.0;24;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;329.14814814814815;27;0.0;0;0.0;0.0;0.0;0.0;4;1.6;Rear-Wheel Drive;57020;FFS 2 barrel carb;;2000;0;Regular;Regular Gasoline;;;30;0.0;0;0.0;0.0;0.0;0.0;12;77;3144;9;0;N;false;78;0;0;0.0;0.0;0.0;0.0;Manual 5-spd;31.1111;0.0;42.3077;0.0;Subcompact Cars;1987;-500;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Corolla
Toyota;Corolla;9.2971875;0.0;0.0;0.0;29;28.5494;0;0.0;0.0;0.0;0.0;281;-1;0.0;281.0;32;31.7779;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;33;;8;1700;0;Regular;Regular Gasoline;8;;37;36.8746;0;0.0;0.0;0.0;0.0;0;0;35498;0;13;Y;false;0;98;0;0.0;0.0;0.0;0.0;Automatic (variable gear ratios);37.5;0.0;54.1;0.0;Midsize Cars;2015;1000;;;;;;;;;TYX;;0.0;;2014-08-12;2016-09-26;N;0;0;0;Corolla
Toyota;Corolla Wagon;11.018888888888888;0.0;0.0;0.0;25;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;329.14814814814815;27;0.0;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;57003;FFS;;2000;0;Regular;Regular Gasoline;;;31;0.0;0;0.0;0.0;0.0;0.0;0;0;12918;0;31;Y;false;0;91;0;0.0;0.0;0.0;0.0;Manual 5-spd;32.0;0.0;44.0;0.0;Small Station Wagons;1996;-500;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Corolla
Toyota;Corolla Cross Hybrid AWD;7.083571428571429;0.0;0.0;0.0;45;45.0;0;0.0;0.0;0.0;0.0;209;-1;0.0;209.0;42;42.0;0;0.0;0.0;0.0;0.0;4;2.0;All-Wheel Drive;82;"SIDI & PFI; Hybrid";8;1300;0;Regular;Regular Gasoline;8;;38;38.0;0;0.0;0.0;0.0;0.0;0;0;47519;0;0;Y;false;0;0;0;0.0;0.0;0.0;0.0;Automatic (AV-S6);66.75;0.0;57.6664;0.0;Small Sport Utility Vehicle 4WD;2023;3000;;;;;Hybrid;;;222V Li-Ion;TYX;;0.0;;2023-11-06;2024-04-30;Y;0;0;0;Corolla Cross
Toyota;Corolla;11.442692307692308;0.0;0.0;0.0;24;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;341.8076923076923;26;0.0;0;0.0;0.0;0.0;0.0;4;1.6;Front-Wheel Drive;57007;4A-FE    FFS;;2050;0;Regular;Regular Gasoline;;;30;0.0;0;0.0;0.0;0.0;0.0;0;0;6622;12;11;Y;false;76;84;0;0.0;0.0;0.0;0.0;Manual 5-spd;31.0;0.0;42.0;0.0;Subcompact Cars;1990;-750;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Corolla
Toyota;Corolla All-Trac Wagon;14.167142857142858;0.0;0.0;0.0;19;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;423.1904761904762;21;0.0;0;0.0;0.0;0.0;0.0;4;1.6;4-Wheel or All-Wheel Drive;57007;4A-FE    FFS;;2550;0;Regular;Regular Gasoline;;;25;0.0;0;0.0;0.0;0.0;0.0;0;0;8068;0;26;N;false;0;87;0;0.0;0.0;0.0;0.0;Manual 5-spd;24.0;0.0;35.0;0.0;Small Station Wagons;1991;-3250;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Corolla
Toyota;Corolla;11.900400000000001;0.0;0.0;0.0;22;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;355.48;25;0.0;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;0;SPORTS;;2700;0;Premium;Premium Gasoline;;;31;0.0;0;0.0;0.0;0.0;0.0;0;0;21883;0;14;Y;false;0;89;0;0.0;0.0;0.0;0.0;Manual 6-spd;28.5;0.0;43.1;0.0;Compact Cars;2006;-4000;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Corolla
Toyota;Corolla;9.2971875;0.0;0.0;0.0;28;28.4148;0;0.0;0.0;0.0;0.0;281;-1;0.0;281.0;32;31.5246;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;86;;7;1700;0;Regular;Regular Gasoline;7;;36;36.3927;0;0.0;0.0;0.0;0.0;0;0;38153;0;13;Y;false;0;98;0;0.0;0.0;0.0;0.0;Automatic (variable gear ratios);37.3;0.0;53.3;0.0;Midsize Cars;2017;1000;;;;;;;;;TYX;;0.0;;2016-09-13;2016-11-22;N;0;0;0;Corolla
Toyota;Corolla;9.597096774193549;0.0;0.0;0.0;28;28.0777;0;0.0;0.0;0.0;0.0;286;-1;0.0;286.0;31;30.9046;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;53;;7;1750;0;Regular;Regular Gasoline;7;;35;35.2413;0;0.0;0.0;0.0;0.0;0;0;40242;0;13;N;false;0;98;0;0.0;0.0;0.0;0.0;Automatic (AV-S7);36.8;0.0;51.4;0.0;Midsize Cars;2019;750;;;;;;;;;TYX;;0.0;;2018-06-13;2018-08-10;N;0;0;0;Corolla
Toyota;Corolla;8.750294117647059;0.0;0.0;0.0;31;30.8774;0;0.0;0.0;0.0;0.0;257;-1;0.0;257.0;34;34.2793;0;0.0;0.0;0.0;0.0;4;2.0;Front-Wheel Drive;4;SIDI & PFI;8;1600;0;Regular;Regular Gasoline;8;;40;39.6137;0;0.0;0.0;0.0;0.0;0;0;41213;0;13;Y;false;0;89;0;0.0;0.0;0.0;0.0;Automatic (AV-S10);41.0;0.0;58.7;0.0;Compact Cars;2020;1500;;;;;;;;;TYX;;0.0;;2019-02-06;2019-04-16;N;0;0;0;Corolla
Toyota;Corolla FX;12.39625;0.0;0.0;0.0;21;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;370.2916666666667;24;0.0;0;0.0;0.0;0.0;0.0;4;1.6;Front-Wheel Drive;57611;16-VALVE FFS;;2250;0;Regular;Regular Gasoline;;;28;0.0;0;0.0;0.0;0.0;0.0;14;86;3141;0;0;N;false;0;0;0;0.0;0.0;0.0;0.0;Automatic 4-spd;27.0;0.0;39.0;0.0;Subcompact Cars;1987;-1750;;2MODE 2LKUP;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Corolla
Toyota;Corolla;11.900400000000001;0.0;0.0;0.0;22;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;355.48;25;0.0;0;0.0;0.0;0.0;0.0;4;2.4;Front-Wheel Drive;8;;;2150;0;Regular;Regular Gasoline;;;30;0.0;0;0.0;0.0;0.0;0.0;0;0;26378;0;12;N;false;0;92;0;0.0;0.0;0.0;0.0;Manual 5-spd;27.3;0.0;42.2;0.0;Compact Cars;2010;-1250;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Corolla
Toyota;Corolla Wagon;11.442692307692308;0.0;0.0;0.0;23;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;341.8076923076923;26;0.0;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;57003;FFS;;2050;0;Regular;Regular Gasoline;;;31;0.0;0;0.0;0.0;0.0;0.0;0;0;12917;0;31;Y;false;0;91;0;0.0;0.0;0.0;0.0;Automatic 4-spd;30.0;0.0;43.0;0.0;Small Station Wagons;1996;-750;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Corolla
Toyota;Corolla Wagon;11.900400000000001;0.0;0.0;0.0;23;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;355.48;25;0.0;0;0.0;0.0;0.0;0.0;4;1.6;Front-Wheel Drive;57020;4A-F     FFS;;2150;0;Regular;Regular Gasoline;;;28;0.0;0;0.0;0.0;0.0;0.0;0;0;4708;0;31;N;false;0;88;0;0.0;0.0;0.0;0.0;Automatic 3-spd;30.0;0.0;39.0;0.0;Small Station Wagons;1988;-1250;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Corolla
Toyota;Corolla iM;9.597096774193549;0.0;0.0;0.0;28;28.2127;0;0.0;0.0;0.0;0.0;283;-1;0.0;283.0;31;31.2448;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;51;;7;1750;0;Regular;Regular Gasoline;7;;36;35.9696;0;0.0;0.0;0.0;0.0;21;90;39346;0;0;N;false;0;0;0;0.0;0.0;0.0;0.0;Automatic (AV-S7);37.0;0.0;52.6;0.0;Midsize Cars;2018;750;;;;;;;;;TYX;;0.0;;2017-08-28;2017-12-20;N;0;0;0;Corolla
Toyota;Corolla;8.750294117647059;0.0;0.0;0.0;31;30.8774;0;0.0;0.0;0.0;0.0;257;-1;0.0;257.0;34;34.2793;0;0.0;0.0;0.0;0.0;4;2.0;Front-Wheel Drive;9;SIDI & PFI;7;1600;0;Regular;Regular Gasoline;7;;40;39.6137;0;0.0;0.0;0.0;0.0;0;0;44074;0;13;Y;false;0;89;0;0.0;0.0;0.0;0.0;Automatic (AV-S10);41.0;0.0;58.7;0.0;Compact Cars;2022;1500;;;;;;;;;TYX;;0.0;;2021-06-24;2021-10-26;N;0;0;0;Corolla
Toyota;Corolla;9.597096774193549;0.0;0.0;0.0;28;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;286.6774193548387;31;0.0;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;0;;;1750;0;Regular;Regular Gasoline;;;37;0.0;0;0.0;0.0;0.0;0.0;0;0;20797;0;14;Y;false;0;89;0;0.0;0.0;0.0;0.0;Manual 5-spd;35.7499;0.0;52.5496;0.0;Compact Cars;2005;750;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Corolla
Toyota;Corolla;9.917;0.0;0.0;0.0;26;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;296.23333333333335;30;0.0;0;0.0;0.0;0.0;0.0;4;1.8;Front-Wheel Drive;4;;;1800;0;Regular;Regular Gasoline;;;35;0.0;0;0.0;0.0;0.0;0.0;0;0;26377;0;12;Y;false;0;92;0;0.0;0.0;0.0;0.0;Manual 5-spd;34.0;0.0;50.0;0.0;Compact Cars;2010;500;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Corolla
